student_id,gender,study_hours_per_day,attendance_percentage,assignment_score,midterm_score,final_exam_score,participation_score,internet_access,extra_classes,parent_education,sleep_hours,overall_score,grade
100145,0,8.92,99.97,43.3,40.25,43.28,35.33,1,1,1,6.83,47.4005,1
100146,0,6.84,82.61,45.38,92.37,78.27,98.32,1,0,1,6.38,77.656,3
100147,0,9.09,85.7,96.5,80.97,78.66,83.75,0,0,0,4.77,84.0185,3
100148,0,6.61,96.3,40.76,50.53,70.75,34.07,1,0,0,6.96,58.584,2
100149,1,2.18,46.82,32.59,46.31,98.04,81.2,1,0,3,4.87,65.2115,2
100150,0,3.79,82.29,67.41,80.2,59.07,14.48,1,1,3,8.06,63.8835,2
100151,0,2.82,91.05,67.0,87.74,59.19,59.33,1,1,2,7.09,71.0895,3
100152,0,9.18,97.26,89.08,78.69,93.73,42.16,0,0,2,8.36,84.236,3
100153,0,7.84,52.66,96.42,73.0,67.69,48.42,1,0,0,6.12,71.3335,3
100154,0,7.09,70.24,67.7,42.09,54.76,52.56,1,1,0,6.56,55.5085,2
100155,1,3.71,80.83,95.1,88.96,80.33,55.24,0,1,1,7.8,82.9825,3
100156,0,2.66,54.85,80.76,81.22,73.38,69.08,1,0,1,6.73,74.533,3
100157,1,7.81,76.03,48.52,63.8,51.45,72.71,0,0,2,6.86,58.5355,2
100158,0,5.27,55.45,94.99,63.37,50.86,97.81,1,0,3,6.77,67.9675,2
100159,1,3.03,60.01,76.72,67.69,57.69,78.65,1,1,3,6.46,66.324,2
100160,0,6.55,66.49,58.99,87.12,35.01,71.9,0,1,3,8.03,59.6705,2
100161,0,1.36,71.75,77.62,80.67,95.98,45.32,0,1,0,6.43,80.9915,3
100162,1,3.94,66.96,58.09,89.22,42.81,20.6,0,1,1,8.5,57.6625,2
100163,1,5.22,69.59,37.99,63.05,43.57,15.29,0,1,3,8.04,47.098,1
100164,1,2.33,57.92,80.33,71.85,75.29,52.99,1,1,1,7.46,71.471,3
100165,0,9.86,49.54,87.69,89.09,80.7,70.14,1,0,3,8.49,80.0235,3
100166,1,2.88,42.84,81.02,42.42,81.58,68.51,1,1,2,6.69,66.497,2
100167,0,2.17,51.76,46.04,58.3,56.26,95.76,1,0,1,8.11,58.226,2
100168,0,2.83,74.92,96.96,71.55,91.13,44.42,0,1,2,5.21,81.109,3
100169,1,7.92,87.17,31.77,93.64,68.08,66.5,1,0,1,4.36,68.959,2
100170,1,4.83,50.15,53.29,26.19,60.7,89.91,1,1,3,7.43,52.4565,1
100171,0,6.09,46.51,48.21,40.94,86.73,46.37,1,0,3,5.51,59.5205,2
100172,0,1.19,84.96,33.37,42.58,47.05,53.0,1,0,3,7.17,47.5825,1
100173,1,1.31,58.31,58.4,49.5,90.21,93.07,0,0,3,4.39,70.7665,3
100174,1,5.01,97.09,73.62,46.13,67.72,59.52,0,1,3,8.78,65.6195,2
100175,1,8.35,82.86,91.78,69.26,93.0,81.96,0,1,3,6.58,84.703,3
100176,0,8.97,59.61,99.28,91.42,44.11,94.21,0,1,3,4.05,73.5315,3
100177,0,1.78,57.37,86.57,72.77,95.52,61.4,1,1,0,6.38,80.8155,3
100178,0,5.85,71.42,62.81,43.11,78.15,19.83,0,0,1,7.95,59.817,2
100179,0,9.22,44.75,80.66,89.78,73.28,83.95,1,1,2,8.33,77.095,3
100180,0,4.49,47.06,89.05,72.4,59.54,83.6,0,1,0,6.31,69.815,2
100181,0,8.47,50.55,62.57,41.42,96.94,20.35,1,0,1,4.63,63.888,2
100182,1,2.2,86.48,84.95,52.12,61.07,59.33,1,1,2,8.53,65.9755,2
100183,0,9.42,70.83,63.79,84.25,64.9,53.84,1,1,1,8.91,69.0025,2
100184,0,7.76,40.63,57.05,80.42,84.7,86.24,0,0,2,4.32,73.847,3
100185,0,9.47,80.41,66.83,68.24,49.94,34.72,1,1,2,4.39,59.418,2
100186,1,7.09,65.42,77.31,35.86,50.4,48.36,1,0,2,6.83,53.445,1
100187,0,4.27,70.65,80.88,85.25,84.27,64.43,1,0,1,6.67,80.491,3
100188,0,9.44,52.85,54.97,48.07,39.0,56.55,1,0,1,6.94,47.6015,1
100189,1,3.48,73.11,69.99,82.87,87.61,95.95,0,0,2,5.59,82.285,3
100190,0,3.99,98.75,93.69,73.57,73.76,96.46,0,1,2,4.25,82.4675,3
100191,0,7.31,44.41,98.34,44.81,67.74,17.34,1,1,3,6.9,60.7545,2
100192,0,7.89,57.04,45.91,40.93,46.04,36.81,0,1,2,4.76,44.9135,1
100193,0,9.36,54.58,43.5,34.82,85.05,10.68,0,0,3,5.71,53.6985,1
100194,0,2.84,54.91,77.37,43.15,86.35,47.61,1,0,3,6.91,66.736,2
100195,1,8.18,62.72,59.03,36.84,63.81,69.59,1,0,3,5.04,56.5805,2
100196,1,7.65,89.09,31.7,71.28,57.24,52.42,0,0,2,6.71,58.345,2
100197,1,1.57,94.77,54.28,69.91,47.23,16.05,0,1,2,7.57,55.946,2
100198,0,4.49,52.13,86.47,68.96,82.8,27.64,0,0,2,4.33,71.491,3
100199,0,3.54,72.58,85.82,73.14,74.76,25.6,0,1,2,7.1,71.433,3
100200,0,3.74,78.21,64.63,86.11,44.46,56.0,0,1,3,6.55,63.4355,2
100201,1,9.85,71.31,63.08,93.52,85.61,70.99,0,0,2,4.49,80.1895,3
100202,0,6.78,66.04,70.57,42.28,91.75,38.47,1,1,3,7.53,67.2475,2
100203,0,7.46,51.52,45.36,69.08,34.15,21.74,0,1,3,5.55,45.6205,1
100204,1,9.79,69.29,66.82,30.88,84.07,81.87,1,1,3,4.91,65.6245,2
100205,0,4.39,64.07,30.77,34.01,89.7,87.25,1,0,1,5.41,61.1835,2
100206,1,8.22,87.73,63.29,74.08,99.41,34.88,0,1,0,6.73,78.2325,3
100207,1,4.91,85.82,53.52,61.49,46.63,47.87,0,0,3,6.9,55.766,2
100208,1,8.83,48.04,77.24,81.87,55.97,17.37,1,1,3,4.85,62.046,2
100209,0,2.63,45.31,74.68,56.93,97.63,30.49,0,1,0,8.68,70.919,3
100210,0,9.53,94.49,56.66,34.57,36.58,79.03,0,1,1,5.64,50.1295,1
100211,0,2.97,72.13,30.51,90.4,66.66,42.87,1,1,2,5.34,63.533,2
100212,0,3.94,91.47,47.66,31.22,65.47,64.42,0,0,1,4.93,55.8405,2
100213,0,7.81,43.49,74.33,39.17,72.46,95.16,1,0,2,4.6,63.8845,2
100214,0,4.54,71.59,35.07,45.77,53.16,75.13,1,1,0,8.91,51.7345,1
100215,0,6.47,72.37,37.53,99.65,94.81,50.81,0,1,1,7.37,77.92,3
100216,1,5.0,91.64,75.29,56.26,48.9,43.02,1,1,0,7.94,59.704,2
100217,0,7.68,45.86,82.9,62.63,75.48,27.15,1,0,1,6.01,65.9565,2
100218,1,3.05,54.43,52.51,82.73,64.71,78.05,1,1,1,6.07,67.081,2
100219,0,1.53,64.39,64.28,72.73,48.67,20.12,0,1,0,8.93,56.524,2
100220,0,3.7,91.95,96.2,88.11,43.22,15.53,0,0,0,5.0,67.1425,2
100221,0,5.27,96.33,96.19,61.48,96.96,19.43,0,1,0,5.63,80.12,3
100222,1,2.51,99.56,51.53,97.91,69.29,31.86,0,0,2,4.98,72.177,3
100223,1,4.19,97.55,86.7,84.76,72.29,66.44,1,0,0,5.41,80.2305,3
100224,1,4.6,40.36,71.58,55.1,84.8,87.52,1,1,3,7.32,70.559,3
100225,1,1.52,42.86,98.28,53.6,35.69,99.34,0,1,3,5.54,59.7675,2
100226,0,6.25,48.86,63.43,94.71,79.96,75.83,1,1,0,8.38,76.8185,3
100227,1,8.96,60.93,84.23,76.33,41.56,23.14,1,1,0,4.24,58.8815,2
100228,0,2.37,89.8,83.77,71.61,81.83,34.99,0,0,1,5.77,75.776,3
100229,0,6.38,93.56,64.82,81.84,39.89,21.88,0,1,3,8.3,58.9295,2
100230,1,6.98,51.21,85.69,67.06,88.27,20.4,0,0,2,7.11,71.9585,3
100231,1,4.77,77.18,48.27,36.94,77.67,61.1,1,1,1,7.85,59.9015,2
100232,1,7.31,95.04,38.56,48.94,57.01,91.61,0,0,2,5.62,58.5655,2
100233,1,4.7,67.82,59.76,66.85,55.12,71.59,0,1,0,5.85,61.8975,2
100234,1,5.54,46.21,96.05,26.36,40.43,82.06,1,0,1,8.44,52.7775,1
100235,1,1.07,67.47,65.05,57.8,93.28,55.73,0,1,3,7.75,72.428,3
100236,1,7.23,62.55,74.47,81.69,38.3,52.78,0,0,1,5.92,60.2545,2
100237,1,6.95,74.66,73.69,37.32,63.05,94.37,1,1,2,5.08,63.0385,2
100238,0,1.35,66.32,39.28,29.84,46.56,74.98,0,0,3,4.53,45.742,1
100239,1,4.31,41.04,57.32,87.7,99.74,51.34,0,1,2,8.31,77.536,3
100240,1,9.81,99.64,79.49,71.3,71.01,39.93,1,1,3,7.49,72.5335,3
100241,0,4.79,72.61,98.04,38.24,40.47,18.38,0,1,0,7.04,52.4315,1
100242,1,5.52,68.42,41.76,85.47,76.73,83.89,0,1,0,7.88,71.806,3
100243,0,9.19,97.28,58.73,74.36,99.41,25.24,1,0,0,8.57,77.3815,3
100244,0,7.46,49.35,36.66,50.06,72.35,56.35,1,0,3,7.81,55.7395,2
100245,1,6.24,51.35,46.97,53.21,62.02,67.36,0,1,1,6.1,56.2745,2
100246,0,8.18,88.48,56.37,36.69,50.53,76.97,1,1,0,4.88,54.677,1
100247,0,8.78,55.65,67.85,87.64,36.45,17.5,1,0,3,7.57,55.5525,2
100248,0,5.11,87.95,46.14,63.18,45.98,10.96,0,1,3,5.23,51.007,1
100249,0,5.28,56.29,45.93,66.78,68.75,73.54,1,0,0,7.91,62.9265,2
100250,1,4.47,41.99,84.45,91.26,82.76,50.9,0,0,3,5.69,77.96,3
100251,0,9.7,71.02,97.38,26.19,91.46,26.3,0,1,3,4.78,67.7665,2
100252,1,7.27,51.8,52.65,30.02,85.56,98.38,1,1,0,5.27,62.999,2
100253,0,1.75,85.47,78.16,37.12,38.78,81.22,1,0,1,5.33,55.154,2
100254,0,8.77,78.47,48.07,27.25,84.14,62.07,1,0,2,5.89,59.9295,2
100255,0,5.33,95.42,94.96,74.36,70.71,73.19,0,0,1,5.29,79.1915,3
100256,0,1.62,86.98,77.1,72.54,62.84,23.95,1,0,3,5.13,66.642,2
100257,1,5.95,50.85,86.19,40.81,70.09,96.6,0,0,3,5.96,66.717,2
100258,1,4.75,88.01,33.45,36.21,30.57,99.67,1,1,3,8.34,45.21,1
100259,0,8.9,78.5,71.9,35.93,34.74,68.36,0,0,0,4.35,50.2075,1
100260,0,2.84,80.14,66.93,96.49,66.81,70.15,0,1,2,5.48,75.921,3
100261,1,8.44,89.94,50.51,77.01,42.15,73.4,1,0,3,6.81,60.441,2
100262,0,6.02,74.43,48.37,68.91,68.19,69.92,0,0,3,8.37,65.203,2
100263,0,1.49,67.96,70.6,49.19,54.79,49.47,0,1,1,5.42,57.337,2
100264,0,9.75,78.2,79.45,57.48,93.52,58.66,0,1,3,5.74,76.678,3
100265,1,5.61,57.88,32.32,31.71,96.48,35.45,1,0,3,7.99,57.4925,2
100266,1,3.62,50.96,69.72,99.86,98.58,50.22,1,0,0,5.86,83.53,3
100267,1,5.22,77.0,41.93,81.63,92.93,49.25,1,0,1,8.26,73.944,3
100268,0,8.72,54.03,39.83,71.61,99.01,35.93,1,1,1,6.28,69.518,2
100269,0,3.74,44.79,73.62,69.08,79.43,80.8,1,1,3,6.85,72.3535,3
100270,1,2.73,40.03,51.76,62.82,97.24,46.87,1,0,0,6.8,68.781,2
100271,1,2.16,76.5,60.86,44.31,74.93,59.65,1,0,0,4.6,63.09,2
100272,1,3.68,61.73,55.2,41.98,86.64,24.05,0,0,2,5.77,60.437,2
100273,1,8.02,85.14,75.38,66.21,39.23,52.75,0,1,2,5.21,59.148,2
100274,0,5.24,62.51,62.91,30.27,77.78,78.53,1,1,3,7.42,61.4765,2
100275,1,3.05,69.16,97.44,30.59,95.18,50.01,0,0,2,8.67,72.3655,3
100276,0,2.5,64.43,54.67,67.06,67.8,60.2,1,0,0,5.06,63.892,2
100277,1,3.99,79.03,81.82,93.99,43.08,73.15,0,0,1,4.46,70.1575,3
100278,0,9.46,61.37,48.01,93.57,66.88,45.01,1,1,2,6.53,67.0405,2
100279,1,4.09,97.83,65.61,25.81,79.49,41.8,0,1,3,5.95,61.359,2
100280,1,9.89,96.17,68.68,33.05,83.89,17.72,0,0,0,4.18,62.749,2
100281,1,5.37,90.88,53.04,68.73,66.66,62.4,0,1,2,8.61,66.4495,2
100282,1,2.61,95.22,63.02,88.64,45.22,73.63,1,0,0,8.7,67.476,2
100283,0,9.02,66.95,49.55,96.58,94.87,62.31,1,1,1,8.25,80.1855,3
100284,1,5.14,72.19,30.42,89.54,84.15,35.52,0,1,0,5.4,68.6925,2
100285,0,7.39,84.53,45.1,75.82,48.95,33.61,0,1,3,4.61,56.9215,2
100286,0,9.85,81.77,79.0,40.04,86.83,24.35,0,1,2,6.96,66.8125,2
100287,0,1.45,93.44,83.97,30.45,54.35,14.23,1,1,0,5.41,54.196,1
100288,0,1.87,82.98,49.61,28.56,51.87,48.42,1,0,1,5.01,48.3565,1
100289,1,7.48,99.87,58.56,70.91,90.42,24.45,1,1,2,7.21,73.5185,3
100290,0,3.54,60.91,32.62,27.71,91.13,72.17,1,0,2,7.75,58.655,2
100291,0,2.66,89.98,46.59,80.44,57.89,96.56,0,0,3,6.64,68.3435,2
100292,0,1.35,81.86,84.55,78.44,30.62,16.61,1,0,1,5.6,57.084,2
100293,1,1.2,81.48,72.42,30.97,43.06,90.37,0,1,0,6.56,54.4825,1
100294,1,7.97,59.55,44.4,93.0,93.65,69.19,0,1,1,7.0,77.7815,3
100295,1,2.21,87.14,48.02,64.14,92.91,87.43,1,1,1,4.26,75.6145,3
100296,1,5.21,94.02,87.18,92.83,61.73,23.95,1,1,1,6.22,74.046,3
100297,0,6.45,53.11,44.64,92.62,51.29,91.58,1,0,0,6.99,64.5035,2
100298,0,4.86,77.53,53.39,39.78,51.19,96.21,1,1,2,4.65,55.9135,2
100299,1,1.24,63.53,76.51,53.54,92.8,91.6,1,1,1,6.24,76.68,3
100300,0,8.05,99.37,69.28,35.1,52.73,80.69,0,0,0,5.73,59.0925,2
100301,0,1.09,68.73,62.26,83.12,65.81,18.13,0,1,2,8.34,64.9515,2
100302,0,7.86,53.7,92.98,62.81,81.17,29.87,1,0,3,6.45,71.065,3
